tid,toi,pl_orbper,pl_tranmid,tfopwg_disp
50365310,1000.01,2.1713484,2459229.630046,FP
88863718,1001.01,1.9316462,2459987.948873,PC
124709665,1002.01,1.8675574,2459224.687802,FP
106997505,1003.01,2.74323,2458493.3957,FP
238597883,1004.01,3.5730141,2459987.047262,FP
169904935,1005.01,4.5505945,2459985.156855,FP
156115721,1006.01,2.5047918,2459229.984579,FP
65212867,1007.01,6.9989206,2459247.930695,PC
440801822,1008.01,2.0483755,2460258.236122,FP
107782586,1009.01,1.9600277,2459229.230924,PC
231663901,101.01,1.4303699,2458326.009117,KP
139853601,1010.01,0.6808702,2459228.878101,FP
114018671,1011.01,2.4705036,2460715.898893,PC
427508467,1012.01,0.884182,2459252.509595,APC
97700520,1013.01,5.4255548,2459232.248322,FP
96246348,1014.01,1.4095184,2459985.657041,FP
155044736,1015.01,1.3730466,2459963.610065,FP
175310067,1016.01,12.6889415,2459238.831138,FP
182943944,1017.01,1.10422,2458518.96536,FP
291555748,1018.01,4.95912,2458492.78078,FP
341420329,1019.01,5.2341008,2459232.446864,PC
149603524,102.01,4.4119372,2460982.065462,KP
140706664,1020.01,3.28892,2458521.29108,FP
143994283,1021.01,1.90879,2458492.90429,FP
47384844,1022.01,3.09574,2458547.448,FA
238374636,1023.01,1.3214483,2459303.303969,FP
141482386,1024.01,18.0157,2458339.72276,FP
297967252,1025.01,9.6837908,2460733.686688,FP
388624270,1026.01,14.2628757,2460720.807674,FP
20318757,1027.01,3.2834565,2460037.86905,PC
20318757,1027.02,11.02875,2460032.53325,PC
20318757,1027.03,5.0113292,2460032.57304,PC
447283466,1028.01,1.01606,2458544.48066,FP
374908020,1029.01,36.22214,2458365.89313,FP
336732616,103.01,3.547854,2458327.25256,KP
464296022,1030.01,12.1246519,2460054.783937,FP
304021498,1031.01,5.652623,2459304.837939,FP
146589986,1032.01,5.6643704,2459283.828685,PC
149601557,1033.01,29.0161646,2460717.39858,FP
400595342,1034.01,3.6404389,2460768.617427,FP
361413119,1035.01,6.0744477,2459286.872605,PC
146172354,1036.01,3.7795212,2460037.172273,PC
363260203,1037.01,1.2025238,2459331.124512,FP
90544017,1038.01,3.2235985,2459273.371643,FP
461867584,1039.01,4.420125,2460031.2166,APC
231670397,104.01,4.0872956,2460150.608677,KP
310483807,1040.01,2.55555,2460756.129789,FP
385624852,1041.01,8.30792,2459261.801216,FP
360286627,1042.01,0.758082,2459281.337956,FP
90448944,1043.01,1.4415577,2459985.770425,FP
463402815,1044.01,1.0085089,2460037.194672,PC
54044474,1045.01,3.7039994,2459301.544126,FP
309787037,1046.01,1.3042553,2460177.867195,FP
370745311,1047.01,0.62627,2458544.79061,FP
384549882,1048.01,0.30412,2458518.376,FP
16288184,1049.01,2.1805333,2458626.801546,KP
144065872,105.01,2.1846669,2460904.412675,KP
66818296,1050.01,3.7354838,2459355.54563,KP
259863352,1051.01,21.701669,2458657.736625,FA
317060587,1052.01,9.139804,2458332.941229,CP
112395568,1053.01,5.742625,2458657.999179,FP
366989877,1054.01,15.5077855,2460122.700139,CP
320004517,1055.01,17.4713078,2458661.062711,CP
421894914,1056.01,5.3079507,2458326.062424,PC
323132914,1057.01,51.1701501,2458607.350901,PC
31553893,1058.01,11.1296441,2458663.023129,PC
380783252,1059.01,9.4496506,2460106.337519,PC
38846515,106.01,2.8493827,2460988.068249,KP
101230735,1060.01,2.0685633,2460149.536226,APC
253990973,1061.01,0.540933,2458654.253249,FP
299799658,1062.01,4.1150576,2460177.200429,CP
406976746,1063.01,10.0665238,2458629.391681,PC
79748331,1064.01,6.4438657,2458656.668478,CP
79748331,1064.02,12.2265595,2458664.490132,CP
7088246,1065.01,2.1605155,2458654.345755,KP
201604954,1066.01,4.606184,2458657.832537,KP
201642601,1067.01,3.1316735,2458656.987874,KP
6663331,1068.01,3.180362,2458656.633231,KP
31858843,1069.01,2.9776446,2460147.378764,KP
92352620,107.01,3.9502008,2460176.993334,KP
31858844,1070.01,2.9776152,2458655.579241,FP
120247528,1071.01,3.5544026,2458655.394059,KP
140830390,1072.01,12.8379689,2459211.732146,FP
158297421,1073.01,3.9228016,2459036.472812,CP
327301957,1074.01,13.9428705,2458662.652685,PC
351601843,1075.01,0.6047392,2458654.249503,CP
360742636,1076.01,2.5495611,2458654.163257,KP
369960846,1077.01,1.6062693,2458654.102739,PC
370133522,1078.01,0.5182425,2458654.10332,CP
379240073,1079.01,3.1644075,2458656.380357,PC
289793076,108.01,3.0440495,2458328.085025,KP
161032923,1080.01,3.9652485,2458654.060577,CP
253728991,1081.01,2.9840866,2460858.623432,PC
261108236,1082.01,16.3469053,2458626.085696,PC
322270620,1083.01,12.9802953,2458627.915974,PC
380589029,1084.01,1.3484961,2458653.973305,KP
381979901,1085.01,3.2541181,2460041.175097,APC
468148930,1086.01,3.7178828,2458655.291499,PC
426077080,1087.01,9.30992,2458630.77194,FP
343648136,1088.01,1.15395,2458626.38955,FA
129319156,1089.01,4.73703,2458643.10264,FP
29344935,109.01,2.76676,2458326.127479,KP
361034196,1090.01,2.19296,2458628.96316,FP
193413306,1091.01,1.725841,2459359.55521,PC
387079085,1092.01,1.1923,2458601.38096,FP
382331352,1093.01,11.47606,2458601.33791,FP
136274063,1094.01,0.5971314,2459360.160536,APC
375223080,1095.01,1.4821386,2459307.385949,PC
375225453,1096.01,0.9209526,2459307.93577,FP
360630575,1097.01,9.188506,2459376.410518,CP
360630575,1097.02,13.9028391,2459344.461827,CP
383390264,1098.01,10.1826983,2458629.909082,CP
290348383,1099.01,6.441006,2460140.220927,CP
281459670,110.01,3.1743504,2458328.039934,KP
318608749,1100.01,20.0731588,2459044.494531,FP
271581073,1101.01,2.66903,2459058.79277,FP
311890977,1102.01,6.63371,2458627.80423,FP
351603103,1103.01,2.94308,2459037.655526,PC
451599528,1104.01,341.2791676,2458702.256022,FP
274151135,1105.01,10.8680523,2460086.979446,PC
384513078,1106.01,11.1149,2458630.71937,PC
394561119,1107.01,4.0782392,2459336.073646,CP
295599256,1108.01,7.14386,2458655.54872,FP
50309953,1109.01,7.04083,2459083.35168,FP
355703913,111.01,2.1061569,2458326.105486,KP
446549905,1110.01,2.4545635,2460146.990136,FP
412014494,1111.01,11.4756978,2460131.889805,FP
369864738,1112.01,2.78186,2458626.54168,FP
290348382,1113.01,6.4410082,2460140.221205,FP
409934330,1114.01,2.4887726,2460148.616195,APC
379286801,1115.01,4.45199,2458658.32747,APC
304100538,1116.01,5.0100708,2458325.661906,PC
295541511,1117.01,2.2281625,2459386.963814,PC
90919952,1118.01,4.13812,2458660.16316,FP
261369656,1119.01,10.95663,2458666.52199,APC
388104525,112.01,2.4997996,2460069.773646,KP
143257766,1120.01,1.66226,2458656.45082,FP
24094603,1121.01,4.07611,2458658.61052,FP
304774444,1122.01,3.6245513,2460115.852574,FP
469782185,1123.01,1.20928,2458658.04087,APC
128790976,1124.01,3.5187707,2460149.391758,APC
80166433,1125.01,0.7724825,2459036.495091,PC
405862830,1126.01,1.6268695,2460122.432108,FP
269450900,1127.01,2.32439,2458657.63073,FP
425721385,1128.01,13.5499,2458663.15245,FP
91576611,1129.01,4.43651,2458659.06927,FP
97409519,113.01,3.372877,2458327.053085,KP
