TIC,Per,e_Per,BJD0,Morph
0185259483,0.310564,1.4082922e-07,1544.164633,0.837
0307990280,2.3159117,3.0407871e-05,1546.118024,0.932
0387178621,8.1871258,4.664703e-05,1548.193069,0.545
0300560295,20.588776,6.2427103e-05,1603.567276,0.044
0318185328,0.3683055,1.6045199e-06,1544.643095,0.745
0363326796,11.3956206,0.00023710157,1553.843475,0.16
0073764693,0.139296,2.6355675e-05,1544.388542,0.657
0031273263,22.5729583,0.0010021914,1337.915766,0.081
0279955276,0.5768497,2.2224993e-07,1326.275208,0.636
0144167463,2.1466378,0.00012232685,1544.874663,0.899
0364325969,0.4198945,1.7364369e-07,1544.665861,0.798
0302038263,1.5472603,3.00499e-06,1545.226842,0.528
0176983267,0.4180924,3.2013245e-07,1544.408833,0.991
0308751185,1.3616205,2.2522939e-05,1544.68164,0.94
0341550561,1.1057183,6.6482197e-06,1493.729613,0.847
0140757590,0.4184041,9.3026144e-07,1544.571871,0.865
0140084919,0.8450043,4.9720408e-06,1518.534148,1.011
0177118376,0.4112904,4.4010114e-07,1544.148752,0.878
0388179896,0.3098493,1.7611693e-08,1354.24024,0.721
0177308817,23.8960519,0.00023794486,1339.631384,0.067
0142013583,0.3220011,3.1561076e-07,1544.841909,0.964
0031415131,0.7896026,3.3522157e-06,1544.781214,0.63
0146530594,27.0879453,0.0013092551,1561.765652,0.132
0167719897,0.5133215,3.187454e-07,1570.687976,0.941
0391906858,1.1471897,8.8874796e-05,1545.197888,0.933
0349911034,0.5384816,4.2226399e-06,1544.251113,0.553
0349642881,1.4735083,1.5390682e-05,1598.700713,0.346
0150101472,3.2785242,2.3908926e-06,1547.331721,0.352
0022221233,1.8623447,0.000219832,1544.767221,0.686
0093997745,1.124485,2.9919995e-06,1518.825569,0.905
0177258700,0.6879647,2.9956117e-07,1598.676909,0.811
0189639080,3.1337762,3.483503e-06,1517.285695,0.162
0382069441,5.4786639,0.0099463422,1327.777811,0.615
0349518145,8.2798747,1.8669396e-05,1327.574927,0.15
0289801742,1.3896275,9.0214003e-06,1545.778843,0.63
0106309554,1.1031609,1.1210896e-05,1544.478376,0.638
0468997317,3.7500535,0.00031664484,1551.616807,0.325
0167005326,0.7204063,2.3743683e-06,1598.513864,0.689
0321312438,1.1847683,3.6192796e-05,1570.67903,0.507
0450276745,1.266478,1.0558848e-07,1570.782528,0.585
0135244338,0.6149767,4.7324996e-06,1571.370454,0.963
0181226974,1.9353781,7.3550089e-05,1572.39012,0.538
0005981829,1.799076,4.8356671e-05,1571.120876,0.607
0293081694,1.2561019,2.045853e-05,1571.575223,0.659
0457427613,1.2228117,1.6690786e-05,1570.149996,0.599
0167722431,0.5411687,1.5437831e-06,1544.801763,0.689
0167692491,0.4208575,5.0792121e-08,1570.619422,0.973
0294206967,2.7580575,8.1602911e-05,1598.883659,0.483
0228760807,0.7779784,2.2550409e-06,1571.438988,0.511
0295885511,5.0547566,5.4650113e-06,1571.944387,0.475
0038586438,1.1112853,2.0294742e-07,1325.336622,0.368
0398850090,13.1813342,0.00015089812,1579.023368,0.107
0073177813,8.8160188,0.0038795034,1574.965564,0.608
0030313682,5.7273674,5.2733662e-06,1329.89694,0.422
0308085294,4.3329138,0.0082875182,1359.577415,0.807
0300293197,13.1176103,0.0010091039,1592.589334,0.443
0364302118,1.3453456,5.4846478e-07,1326.444544,0.56
0272357134,4.1969492,1.0132965e-06,1571.969612,0.497
0318986273,3.1070197,0.0004825211,1570.253431,0.532
0261677352,1.1467472,1.6200935e-05,1571.856,0.873
0355151781,1.5807272,4.5083348e-07,1545.275044,0.978
0276935987,4.2507272,8.194242e-05,1324.401216,0.663
0349480507,1.5620192,1.7814617e-07,1355.493939,0.552
0072121778,6.0117788,0.0003378114,1571.994553,0.162
0390549095,1.8695387,0.00010284565,1569.987336,0.644
0300443831,0.8474457,1.5208856e-07,1354.467439,0.883
0167338355,0.2883619,2.2014396e-06,1544.668605,0.748
0294784522,0.4956179,2.2654826e-08,1354.288633,0.848
0347752831,2.164663,3.0136268e-06,1572.058929,0.26
0149473467,1.0948857,2.8306157e-06,1325.848446,0.606
0278822321,0.6391327,9.6504393e-07,1545.340289,0.806
0421191260,2.6857639,0.0096591271,1571.597949,0.493
0229889119,0.8875197,6.0645958e-07,1571.660672,0.75
0434515577,0.3166313,5.3153433e-06,1571.106475,0.88
0149976187,0.8968788,2.1664294e-07,1492.372537,0.674
0033715938,1.4392968,6.0376374e-08,1325.22119,0.529
0294092960,0.9022575,4.4672517e-06,1571.428415,0.671
0149629043,2.1881105,1.1686077e-06,1545.760118,0.455
0093000166,2.8570926,8.7138362e-06,1571.405722,0.332
0167891342,0.6335889,2.5947065e-06,1544.956493,0.797
0451960523,2.4461201,7.5095043e-05,1570.866672,0.552
0107012110,3.0311832,0.0016253486,1571.52082,0.349
0135050395,6.7599877,1.3652035e-06,1574.486047,0.123
0167123437,0.767151,1.9798028e-06,1570.548008,0.518
0023555025,4.7456775,0.0038224015,1546.086083,0.346
0320228013,6.8002103,0.00011008126,1571.053077,0.55
0458859193,1.149914,2.6440281e-06,1569.395482,0.608
0391643922,17.7969142,0.00090744025,1592.111179,0.197
0151826930,2.6952751,3.1234356e-05,1546.042888,0.485
0141606986,0.3438411,9.016627e-08,1325.46758,0.731
0260161144,2.2341666,1.6210985e-05,1571.084849,0.458
0355152640,22.1189597,0.00020881699,1564.660827,0.212
0022390773,11.3051195,0.00025119732,1572.061846,0.109
0279569718,3.9794037,1.682812e-05,1356.108277,0.353
0454013359,5.147686,5.9835556e-07,1575.28498,0.345
0176937887,0.6574974,2.9114179e-07,1571.193008,0.539
0349832824,1.0407309,1.7024917e-07,1325.932248,0.519
0294261093,2.6583152,5.0026322e-05,1568.542123,0.614
0391927558,0.5429778,6.0108572e-05,1544.414855,0.641
0350518984,23.9165758,0.00011843593,1610.870613,0.021
0293109489,1.2650517,0.00019879064,1571.251826,0.453
0350478924,0.4370846,6.0418141e-08,1571.291745,0.741
0423530755,4.6843069,7.6352325e-05,1573.22419,0.242
0294273900,0.4722803,2.8197252e-07,1329.015879,0.829
0309659126,0.2482701,1.3329962e-07,1354.40346,0.772
0157175641,0.3702377,8.09621e-07,1570.778369,0.789
0302043038,16.7212031,2.0775841e-05,1546.653054,0.131
0320855910,2.7546793,7.4377737e-05,1571.091142,0.487
0405387285,0.9879181,0.00067306507,1570.96679,0.925
0278988794,7.5923552,7.6017389e-05,1328.479532,0.173
0378885645,4.2261769,6.2821626e-06,1571.802328,0.592
0103777040,0.473221,3.9635402e-06,1571.215729,0.652
0150361911,2.4938523,2.798709e-06,1545.54304,0.461
0280738935,1.5132067,4.1445648e-05,1544.614344,0.541
0294092966,0.9022624,6.8653964e-08,1570.980074,0.673
0466323338,21.3389511,0.00018696937,1578.988403,0.07
0372909935,3.6111184,1.539235e-06,1574.058716,0.215
0382266319,0.3442883,2.2891411e-06,1468.356301,0.769
0038462522,1.3570883,0.00014759045,1598.75008,0.363
0408512382,4.0317118,0.00017807102,1572.671353,0.272
0231093356,3.4703404,2.209589e-06,1599.206483,0.405
0132298139,35.968161,0.0037769992,1552.287527,0.107
0380127556,0.4510887,3.4022285e-06,1571.140536,0.947
0032000625,0.7017512,4.4126137e-07,1325.808859,0.535
0162305237,0.3371859,1.2961783e-06,1570.940233,0.882
0345899523,6.7185621,0.00027663554,1576.285328,0.548
0165456443,4.3139651,0.00020421631,1571.917537,0.301
0278861826,1.0676262,3.4821639e-07,1544.635262,0.533
0229811538,11.5402195,0.010852289,1578.395102,0.182
0458808688,1.3509634,0.0038855497,1571.409934,0.542
0392113518,4.3636178,0.00053383951,1571.647422,0.393
0467062613,1.516281,8.8932521e-05,1571.227699,0.565
0321947833,5.4212965,0.0094842465,1573.843307,0.6
0294191640,1.5939127,1.2865393e-06,1544.934291,0.511
0350030939,1.2209606,7.758743e-07,1411.930294,0.585
0181150051,1.0401227,1.9622671e-05,1571.640627,0.513
0415783540,0.4337532,6.490588e-05,1570.958885,0.562
0167304040,5.8191329,1.1266396e-05,1549.199829,0.346
0137136194,3.1306539,4.7413785e-05,1571.562533,0.405
0141975903,0.2577022,2.7967491e-08,1411.009109,0.758
0124205037,0.3327345,8.3368541e-07,1570.986027,0.794
0307488184,10.0668842,1.138118e-05,1447.430101,0.142
0082580956,1.8942674,2.1886648e-06,1571.668897,0.466
0271701447,1.6388205,3.8007957e-06,1570.995523,0.525
0141622065,2.9279902,5.4915814e-05,1330.695245,0.577
0398763011,9.3189094,0.001071971,1574.622616,0.452
0308851582,4.9124269,1.7284061e-06,1547.610246,0.193
0260162199,0.2680682,1.3428407e-07,1325.362991,0.754
0025078924,0.9043827,1.0969539e-05,1325.961426,0.556
0124604724,0.1169202,1.2364966e-08,1570.875233,0.697
0381948745,1.5957514,2.0736081e-06,1598.88154,0.535
0181159386,5.6316349,1.7654913e-05,1574.625123,0.44
0306130391,4.6452833,0.00016300206,1570.904287,0.402
0220474209,0.9801495,4.9734499e-08,1325.402985,0.489
0141766191,0.3735113,2.4645723e-07,1598.355822,1.002
0279615979,0.2407307,1.8484817e-07,1544.610916,0.777
0176910080,1.8573592,1.6477431e-05,1571.554793,0.52
0102764828,0.6726622,6.4519301e-06,1544.639402,0.701
0468162834,2.617318,9.3198207e-05,1572.2367,0.64
0142105466,0.4332051,6.5249503e-07,1598.301498,0.868
0141127435,3.2422209,0.00033037751,1600.986439,0.825
0057652994,4.2785301,8.1127578e-05,1570.34507,0.367
0266845051,1.4697047,7.8419391e-06,1571.254795,0.958
0462267926,10.9399897,9.3317234e-05,1550.614876,0.389
0055524055,2.649443,1.5192371e-06,1325.387506,0.269
0307433122,27.8513812,1.3427041e-05,1364.07953,0.031
0452500843,8.4502808,0.028231719,1578.180859,0.712
0349790953,1.5520821,2.7378193e-05,1571.180338,0.423
0150442264,2.9816876,3.4751332e-05,1326.987074,0.671
0032449963,6.5204909,0.00010647149,1574.694806,0.156
