astro_id,tic,n_pts,P0,P_bls,t0_bls,snr_P0,snr_bls,dpri,dsec,oe_z,half_period_sig,stale_ratio,weak,catalog_unrelated,single_sector,risk_score,flag,note
1,101179364,21774,1.489064397,1.489181,1654.09541,62.4,77.1,227.1,194.6,18.7,False,1.24,False,False,True,0.45,ok,
3,101404344,21769,0.6512799652,0.653229,1654.45377,2.5,3.9,6.2,5.6,0.6,False,1.58,True,False,True,0.9,stale,
6,101513965,13022,2.796572115,2.79657,1655.90108,10.0,10.3,6.0,19.6,10.1,True,1.02,False,False,True,0.7,half_period,
10,101695924,21665,4.579563707,4.579901,1657.6957,16.7,28.0,31.5,32.5,1.7,False,1.68,False,False,True,0.6,stale,
27,112755167,30985,3.672943346,3.672924,1659.40004,30.6,33.1,32.6,34.4,3.4,False,1.08,False,False,True,0.25,ok,
28,112827315,21559,3.230073218,3.209984,1659.28908,3.5,10.6,16.8,17.6,1.8,False,2.98,False,False,True,0.6,stale,
29,112827464,21559,3.422588018,3.422602,1657.67505,9.8,9.6,29.2,29.3,0.3,False,0.98,False,False,True,0.25,ok,
30,113272112,18321,4.585361449,4.517234,1660.61228,3.9,4.4,3.9,3.0,0.8,False,1.11,True,False,True,0.55,weak,
82,119774374,25453,15.09955815,15.010537,1663.78584,1.2,3.6,7.7,4.6,3.8,False,2.95,True,False,True,0.9,stale,
84,119777368,25483,0.9469885432,0.943817,1654.87402,6.1,9.5,16.7,17.7,0.4,False,1.56,False,False,True,0.6,stale,
85,119822417,25483,6.747581841,6.750799,1654.87961,2.6,24.8,16.7,23.3,0.5,False,9.6,False,False,True,0.6,stale,
86,119881567,25483,2.917125052,2.929618,1655.15163,20.6,64.5,144.7,154.6,9.0,False,3.13,False,False,True,0.6,stale,
91,120396319,25483,2.107436267,2.116955,1655.58318,3.8,3.2,2.2,4.4,1.6,False,0.85,True,False,True,0.55,weak,
113,128710970,13022,4.318202283,4.318217,1658.3436,18.4,19.4,79.7,76.9,3.3,False,1.05,False,False,True,0.25,ok,
115,128798054,21665,3.543443348,3.543418,1656.70988,1354.5,1263.3,4799.4,5467.9,360.9,False,0.93,False,True,True,0.55,ok,
116,128966834,21665,2.005533573,2.005543,1657.25789,8.3,8.4,13.6,10.9,1.5,False,1.01,False,False,True,0.25,ok,
33,113496667,30985,0.3453667591,0.346347,1657.23088,5.0,4.0,19.4,17.8,1.1,False,0.81,True,False,True,0.55,weak,
37,113594232,21559,4.392096913,4.392108,1658.26494,52.5,51.1,51.0,66.2,7.9,True,0.97,False,False,True,0.7,half_period,
61,117934375,37573,2.118814303,2.118465,1654.23765,4.3,41.2,80.0,66.2,13.3,False,9.48,False,False,True,0.6,stale,
62,118191063,37568,2.64871018,2.648731,1655.49996,480.5,507.2,882.8,969.6,49.6,False,1.06,False,False,True,0.25,ok,
65,118274531,28730,0.9294480453,0.929935,1654.26248,4.4,3.7,6.5,7.2,0.6,False,0.84,True,False,True,0.55,weak,
