Astro ID,Dec,Decision,Depth,Dur,Epoc,File,Final,Per,RA,SMass,SRad,SRadEst,TIC ID,Tmag,as,ch,disp_b,disp_e,disp_j,disp_n,disp_p,disp_t,disp_u,dm,et,md,mk,total_votes,selected_total_votes,first_letter
1,-52.31294629,,187222.1561,0.1350794268,1654.097539,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000101179364_tess_v01_llc.fits,et,1.489064397,299.150851,0.86,1.16054,1.098840278,101179364,11.505,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
3,-51.3100147,eb,1915.445751,0.08887860972,1654.334301,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000101404344_tess_v01_llc.fits,eb,0.6512799652,300.7517443,1.54,1.67429,1.728548645,101404344,11.3269,pb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
4,-50.38756757,et,195352.3509,0.1710996127,1657.62851,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000101427335_tess_v01_llc.fits,et,3.034797299,300.8067088,1.05,1.71073,1.679462008,101427335,10.6685,et,et,0,1,0,0,0,1,0,,et,eb,et,2,1,e
6,-49.17162479,,1690.094393,0.117759409,1655.889228,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000101513965_tess_v01_llc.fits,et,2.796572115,301.7224092,,12.0096,11.62958317,101513965,10.2638,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
10,-49.69667469,eb,4948.861089,0.1634153487,1657.692294,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000101695924_tess_v01_llc.fits,eb,4.579563707,303.0591436,,11.9455,10.89502595,101695924,9.9394,et,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
27,-30.94062695,eb,10608.35247,0.1717532685,1659.400756,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000112755167_tess_v01_llc.fits,eb,3.672943346,291.8550371,2.16,1.6965,1.754149963,112755167,10.1115,pb,eb,1,1,0,0,0,0,0,,pb,pb,pb,2,1,e
28,-35.13301411,eb,5404.522273,0.3137747041,1657.841206,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000112827315_tess_v01_llc.fits,eb,3.230073218,292.1333941,,3.20577,3.311259441,112827315,8.7797,et,eu,1,1,0,0,0,0,0,,eu,nu,eu,2,1,e
29,-35.01588204,et,33747.80469,0.1316626579,1657.680129,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000112827464_tess_v01_llc.fits,et,3.422588018,292.1555126,0.99,1.52841,1.528258559,112827464,11.0919,et,et,0,1,0,0,0,1,0,,et,eu,et,2,1,e
30,-37.31012666,eb,3804.134448,0.1480050258,1660.593198,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000113272112_tess_v01_llc.fits,eb,4.585361449,284.2631434,,13.7744,12.12333248,113272112,11.2413,pb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
32,-35.06435975,pt,3954.951947,0.08032136715,1661.135729,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000113428669_tess_v01_llc.fits,pt,5.495498402,293.5445289,1.27,2.211,2.586871038,113428669,11.4677,pt,pt,0,0,0,0,1,1,0,,pt,et,pt,2,1,p
33,-32.56745179,,2940.092146,0.06935840431,1657.286158,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000113496667_tess_v01_llc.fits,eb,0.3453667591,293.5656933,1.0,0.889389,0.8768990571,113496667,10.1632,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
37,-38.60438138,,12503.61447,0.1789960307,1658.262228,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000113594232_tess_v01_llc.fits,eb,4.392096913,293.6447891,1.15,2.18643,2.239242326,113594232,11.1459,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
39,-32.4022345,,73932.25053,0.158302714,1657.113045,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000114053589_tess_v01_llc.fits,et,0.8875488365,295.0204976,1.43,2.16941,2.121784056,114053589,9.9361,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
61,-59.20171896,,3811.97927,0.1452813895,1654.233346,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000117934375_tess_v01_llc.fits,et,2.118814303,271.3456784,,9.14391,8.74731993,117934375,9.9271,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
62,-58.53068096,,78273.60067,0.2839874241,1655.493479,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000118191063_tess_v01_llc.fits,eb,2.64871018,271.9602596,,10.4421,10.48928249,118191063,10.7407,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
63,-58.53430793,et,206882.0173,0.2846109681,1655.492991,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000118191083_tess_v01_llc.fits,et,2.648806882,271.9872931,1.18,2.5646,2.562585991,118191083,11.1894,et,et,0,1,0,0,0,1,0,,et,eb,et,2,1,e
64,-56.78263858,,28669.1848,0.1063307593,1654.644749,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000118200081_tess_v01_llc.fits,et,0.9530078208,272.184314,,4.37153,,118200081,10.4577,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
65,-55.17133636,eb,739.6439446,0.06523713043,1654.264606,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000118274531_tess_v01_llc.fits,eb,0.9294480453,272.1120281,,,5.99515533,118274531,11.2578,eb,eb,1,1,0,0,0,0,0,,pb,pb,pb,2,1,e
