tic,label,reobs96_geom,reobs103_geom,reobs96_lc,reobs103_lc,reobs96_tesspoint,max_sector_since94,max_lc_sector_since94
2876,Planet (P),False,False,False,False,False,,
4711,Planet (P),False,False,False,False,False,,
10489,EB,False,False,False,False,False,,
17361,Planet (P),False,False,False,False,False,,
23111,Planet (P),False,False,False,False,False,,
47667,Planet (P),False,False,False,False,False,,
56884,Planet (P),False,False,False,False,False,,
105400,EB,False,False,False,False,False,,
158580,EB,False,False,False,False,False,,
160023,Planet (P),False,False,False,False,False,,
592638,Junk (J),False,True,False,True,False,98.0,98.0
808243,Planet (P),False,False,False,False,False,,
857186,Planet (P),False,False,False,False,False,,
909930,Planet (P),False,False,False,False,False,,
1003831,Planet (P),False,True,False,True,False,99.0,99.0
1018843,Planet (P),False,False,False,False,False,,
1042432,Planet (P),False,False,False,False,False,,
1103432,EB,False,True,False,True,False,99.0,99.0
1120850,Junk (J),False,False,False,False,False,,
1122079,Planet (P),False,False,False,False,False,,
1129033,Planet (P),False,False,False,False,False,,
1133072,EB,False,False,False,False,False,,
1260235,Planet (P),False,True,False,True,False,99.0,99.0
1449640,Planet (P),False,True,False,True,False,98.0,98.0
1449756,Planet (P),False,True,False,True,False,98.0,98.0
1476234,Junk (J),False,False,False,False,True,,
1479206,EB,False,False,False,False,False,,
1525480,Planet (P),False,True,False,True,False,100.0,100.0
1528696,Planet (P),False,True,False,True,False,98.0,98.0
1942622,EB,False,False,False,False,False,,
1942969,Planet (P),False,False,False,False,False,,
1950736,EB,False,False,False,False,False,,
2008655,Junk (J),False,False,False,False,False,,
2010901,EB,False,False,False,False,False,,
2032632,EB,False,False,False,False,False,,
2034171,EB,False,False,False,False,False,,
2096232,Junk (J),False,False,False,False,False,,
2106313,EB,False,False,False,False,False,,
2229921,EB,False,False,False,False,False,,
2234723,EB,False,False,False,False,False,,
2236015,EB,False,False,False,False,False,,
2236272,Junk (J),False,False,False,False,False,,
2243050,Junk (J),False,True,False,True,False,99.0,99.0
2333883,EB,False,False,False,False,False,,
2507547,Planet (P),False,False,False,False,False,,
2517886,Junk (J),False,False,False,False,False,,
2676497,Junk (J),False,False,False,False,False,,
2685481,Planet (P),False,False,False,False,False,,
2758565,Planet (P),True,True,True,True,True,96.0,96.0
2760219,Planet (P),True,True,True,True,True,96.0,96.0
2940839,EB,False,False,False,False,False,,
2947238,Junk (J),False,False,False,False,False,,
3027681,Planet (P),False,False,False,False,False,,
3055978,Junk (J),False,True,False,True,False,99.0,99.0
3224605,Planet (P),False,False,False,False,False,,
3233861,Planet (P),False,True,False,True,False,99.0,99.0
3311888,Junk (J),False,False,False,False,False,,
3364732,Planet (P),False,False,False,False,False,,
3658835,EB,False,True,False,True,False,103.0,103.0
3680800,Planet (P),False,False,False,False,False,,
3728481,Planet (P),False,True,False,True,False,103.0,103.0
3808740,Planet (P),False,False,False,False,False,,
3813484,Junk (J),False,False,False,False,False,,
3840990,Planet (P),False,True,False,True,False,99.0,99.0
3891820,Junk (J),False,True,False,True,False,97.0,97.0
3896759,Planet (P),False,False,False,False,False,,
4070275,Planet (P),False,True,False,True,False,98.0,98.0
4102368,Planet (P),False,True,False,False,False,99.0,
4165850,Planet (P),False,False,False,False,False,,
4426490,Planet (P),False,False,False,False,False,,
4464022,Planet (P),False,False,False,False,False,,
4486230,Planet (P),False,False,False,False,False,,
4510637,Junk (J),False,True,False,True,False,99.0,99.0
4598935,Planet (P),False,True,False,True,False,99.0,99.0
4605846,Planet (P),False,False,False,False,False,,
4610830,Planet (P),False,False,False,False,False,,
4616072,Planet (P),False,False,False,False,False,,
4619242,Planet (P),False,False,False,False,False,,
4646810,Planet (P),False,False,False,False,False,,
4729001,Planet (P),False,True,False,True,False,99.0,99.0
4749827,Junk (J),False,False,False,False,False,,
4897275,Planet (P),False,False,False,False,False,,
4918918,Planet (P),False,False,False,False,False,,
4959676,Planet (P),False,True,False,True,False,99.0,99.0
4999813,Planet (P),False,False,False,False,False,,
5024743,Planet (P),False,True,False,True,False,99.0,99.0
5109298,Planet (P),False,False,False,False,False,,
5205367,EB,False,False,False,False,False,,
5224772,Planet (P),False,True,False,False,False,99.0,
5360219,Junk (J),False,False,False,False,False,,
5423804,Junk (J),False,False,False,False,False,,
5485318,Planet (P),False,True,False,True,False,99.0,99.0
5490216,Junk (J),False,False,False,False,False,,
5592720,Planet (P),False,False,False,False,False,,
5634429,Junk (J),False,False,False,False,False,,
5709314,Planet (P),False,True,False,True,False,99.0,99.0
5724439,Planet (P),False,False,False,False,False,,
5772442,EB,False,False,False,False,False,,
5800958,Planet (P),False,False,False,False,False,,
5868998,Planet (P),False,True,False,True,False,101.0,101.0
5882269,Planet (P),False,False,False,False,False,,
5972036,Planet (P),False,True,False,True,False,99.0,99.0
6010784,Planet (P),False,False,False,False,False,,
6276559,Planet (P),False,False,False,False,False,,
6400274,EB,True,True,True,True,True,94.0,94.0
6400304,EB,True,True,True,True,True,94.0,94.0
6404965,Planet (P),True,True,True,True,True,94.0,94.0
6408102,Junk (J),True,True,True,True,False,94.0,94.0
6470454,Junk (J),True,True,True,True,False,94.0,94.0
6499453,Planet (P),False,False,False,False,False,,
6594598,Planet (P),True,True,True,True,True,94.0,94.0
6653897,Planet (P),False,False,False,False,False,,
6663331,Planet (P),True,True,True,True,True,94.0,94.0
6670156,Junk (J),True,True,True,True,False,94.0,94.0
6764171,Planet (P),True,True,True,True,True,94.0,94.0
6785559,Planet (P),False,False,False,False,False,,
6853696,Planet (P),False,False,False,False,False,,
6892385,Planet (P),False,False,False,False,False,,
6893917,Planet (P),False,False,False,False,False,,
6898572,Planet (P),True,True,True,True,True,94.0,94.0
6942395,EB,True,True,True,True,True,94.0,94.0
7013622,Junk (J),True,True,True,True,True,94.0,94.0
7020254,Planet (P),False,False,False,False,False,,
7059054,Planet (P),False,False,False,False,False,,
7087454,Junk (J),True,True,True,True,True,94.0,94.0
7088246,Planet (P),True,True,True,True,True,94.0,94.0
7152332,Junk (J),True,True,True,True,True,103.0,103.0
7274938,Planet (P),False,False,False,False,False,,
7413227,Planet (P),False,True,False,True,False,102.0,102.0
7422496,Planet (P),False,True,False,True,False,98.0,98.0
7439480,Planet (P),False,True,False,True,False,102.0,102.0
7439481,Junk (J),False,True,False,True,False,102.0,102.0
7474623,EB,False,True,False,False,False,102.0,
7548817,Planet (P),False,False,False,False,False,,
7561203,Planet (P),False,False,False,False,False,,
7562528,Planet (P),False,False,False,False,False,,
7583660,Planet (P),False,False,False,False,False,,
7616646,Junk (J),False,False,False,False,False,,
7622644,Junk (J),False,False,False,False,False,,
7624182,EB,False,False,False,False,False,,
7681574,Planet (P),False,False,False,False,False,,
7694175,Junk (J),False,False,False,False,False,,
