tic,ra,dec,n_sectors,min_sector,max_sector,observed_sectors,sectors_since_94,observed_since_94,resolver
101179364,299.150851,-52.31294629,4,13,94,"13,27,67,94",94,True,local
101255974,56.14736109,32.16791349,6,18,86,"18,42,43,44,58,86",,False,local
101404344,300.7517443,-51.3100147,4,13,94,"13,27,67,94",94,True,local
101427335,300.8067088,-50.38756757,4,13,94,"13,27,67,94",94,True,local
10150705,174.7415761,41.17998964,3,22,75,"22,48,75",,False,local
101513965,301.7224092,-49.17162479,3,13,94,"13,27,94",94,True,local
101546875,129.6822342,31.41134925,5,21,47,"21,44,45,46,47",,False,local
101547609,129.785584,31.79568246,2,21,47,"21,47",,False,local
101675455,259.6518579,41.88808399,7,25,79,"25,26,51,52,53,78,79",,False,local
101695924,303.0591436,-49.69667469,4,13,94,"13,27,67,94",94,True,local
102731164,299.609179,32.63981429,8,14,82,"14,41,54,55,74,75,81,82",,False,local
103573024,149.9711911,71.0981978,8,14,74,"14,20,21,40,41,47,60,74",,False,local
103657171,152.7766399,71.90566706,8,14,74,"14,20,21,40,41,47,60,74",,False,local
104914008,300.6291753,35.69701293,9,14,82,"14,15,41,54,55,74,75,81,82",,False,local
105618511,200.0001669,32.747156,3,23,76,"23,49,76",,False,local
106013773,301.070828,31.37004217,8,14,82,"14,41,54,55,74,75,81,82",,False,local
10697190,29.02929908,60.58096908,3,18,85,"18,58,85",,False,local
108911914,285.981008,-28.68302291,3,13,92,"13,27,92",,False,local
109765689,291.0021577,29.27729629,5,14,81,"14,40,41,74,81",,False,local
110310815,291.4494988,28.76061016,5,14,81,"14,40,41,74,81",,False,local
110428269,291.463077,25.18945654,5,14,81,"14,40,41,54,81",,False,local
111682678,292.1417712,28.48615867,6,14,81,"14,40,41,54,74,81",,False,local
112086256,269.3396156,-41.84197549,4,13,93,"13,39,66,93",,False,local
112362827,292.504239,29.308247,6,14,81,"14,40,41,54,74,81",,False,local
112681546,269.5605466,-41.90598092,4,13,93,"13,39,66,93",,False,local
112710057,291.6488453,-32.85826862,5,13,94,"13,27,67,92,94",94,True,local
112755167,291.8550371,-30.94062695,5,13,94,"13,27,67,92,94",94,True,local
112827315,292.1333941,-35.13301411,4,13,94,"13,27,67,94",94,True,local
112827464,292.1555126,-35.01588204,4,13,94,"13,27,67,94",94,True,local
113272112,284.2631434,-37.31012666,3,13,94,"13,67,94",94,True,local
113347424,293.4028733,-30.26415882,4,13,92,"13,27,67,92",,False,local
113428669,293.5445289,-35.06435975,4,13,94,"13,27,67,94",94,True,local
113496667,293.5656933,-32.56745179,5,13,94,"13,27,67,92,94",94,True,local
113501026,293.4930753,-29.96936993,4,13,92,"13,27,67,92",,False,local
113565705,293.7065255,-35.47333616,4,13,94,"13,27,67,94",94,True,local
113588970,293.7145239,-41.15511921,2,13,27,"13,27",,False,local
113594232,293.6447891,-38.60438138,4,13,94,"13,27,67,94",94,True,local
113909881,294.6006128,-32.71390836,4,13,92,"13,27,67,92",,False,local
114053589,295.0204976,-32.4022345,5,13,94,"13,27,67,92,94",94,True,local
11469974,303.966983,38.85365694,7,14,82,"14,15,41,55,75,81,82",,False,local
115064173,285.4732944,27.30093699,7,14,81,"14,40,53,54,74,80,81",,False,local
115637849,84.0950274,32.33282281,8,19,73,"19,43,44,45,59,71,72,73",,False,local
115684219,339.2273151,35.12633058,3,16,83,"16,56,83",,False,local
115771549,339.8159627,33.88948623,3,16,83,"16,56,83",,False,local
115854656,157.182741,45.96417807,2,21,48,"21,48",,False,local
116331699,85.16746562,32.10641616,8,19,73,"19,43,44,45,59,71,72,73",,False,local
116483514,232.9450688,47.05683584,7,16,78,"16,23,24,50,51,77,78",,False,local
116608612,85.66322321,35.1857962,6,19,73,"19,43,44,45,59,73",,False,local
116681081,300.1334442,25.70254695,5,14,81,"14,41,54,55,81",,False,local
116724157,46.5093666,49.26080393,3,18,85,"18,58,85",,False,local
116727724,318.5672393,34.03143096,4,15,82,"15,55,56,82",,False,local
116888149,46.93873284,52.18393269,3,18,86,"18,58,86",,False,local
117007618,86.40219791,30.16771655,6,19,72,"19,43,44,45,71,72",,False,local
117096174,86.36748389,31.21148351,8,19,73,"19,43,44,45,59,71,72,73",,False,local
117289683,319.7137384,33.45338013,4,15,82,"15,55,56,82",,False,local
117378334,131.9758768,27.98063042,5,21,72,"21,44,45,46,72",,False,local
117397619,48.34319712,48.10868833,4,18,86,"18,58,85,86",,False,local
117446938,320.0173385,34.51918453,5,15,83,"15,55,56,82,83",,False,local
117453686,319.9930495,31.43383477,4,15,82,"15,55,56,82",,False,local
117659938,49.30068854,51.18973503,3,18,86,"18,58,86",,False,local
117934375,271.3456784,-59.20171896,4,13,93,"13,39,66,93",,False,local
