Astro ID,Dec,Decision,Depth,Dur,Epoc,File,Final,Per,RA,SMass,SRad,SRadEst,TIC ID,Tmag,as,ch,disp_b,disp_e,disp_j,disp_n,disp_p,disp_t,disp_u,dm,et,md,mk,total_votes,selected_total_votes,first_letter,sector,prefix,kind,label,cam,ccd
1,-52.31294629,,187222.1561,0.1350794268,1654.097539,mk_hlsp_qlp_tess_ffi-s0013-0000000101179364_tess_v01_llc.fits,et,1.489064397,299.150851,0.86,1.16054,1.098840278,101179364,11.505,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,13,mk,single-sector,EB,2.0,3.0
2,32.16791349,eb,350944.7648,0.1515771697,1792.638064,mk_hlsp_qlp_tess_ffi-s0018-0000000101255974_tess_v01_llc.fits,eb,1.933984622,56.14736109,,,4.870666001,101255974,9.1774,et,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,18,mk,single-sector,EB,1.0,4.0
3,-51.3100147,eb,1915.445751,0.08887860972,1654.334301,mk_hlsp_qlp_tess_ffi-s0027-0000000101404344_tess_v01_llc.fits,eb,0.6512799652,300.7517443,1.54,1.67429,1.728548645,101404344,11.3269,pb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,27,mk,single-sector,EB,2.0,4.0
4,-50.38756757,et,195352.3509,0.1710996127,1657.62851,mk_hlsp_qlp_tess_ffi-s0027-0000000101427335_tess_v01_llc.fits,et,3.034797299,300.8067088,1.05,1.71073,1.679462008,101427335,10.6685,et,et,0,1,0,0,0,1,0,,et,eb,et,2,1,e,27,mk,single-sector,EB,1.0,1.0
5,41.17998964,eb,1550.218071,0.1327628655,1903.330016,mk_hlsp_qlp_tess_ffi-s0022-0000000010150705_tess_v01_llc.fits,eb,1.090010271,174.7415761,1.09,1.13623,0.7947768141,10150705,8.5715,eb,et,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,22,mk,single-sector,EB,2.0,3.0
6,-49.17162479,,1690.094393,0.117759409,1655.889228,mk_hlsp_qlp_tess_ffi-s0027-0000000101513965_tess_v01_llc.fits,et,2.796572115,301.7224092,,12.0096,11.62958317,101513965,10.2638,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,27,mk,single-sector,EB,1.0,1.0
7,31.41134925,,6044.742101,0.2811297979,1872.462902,mk_hlsp_qlp_tess_ffi-s0021-0000000101546875_tess_v01_llc.fits,eb,4.678184974,129.6822342,1.066,1.66397,1.64466552,101546875,9.28671,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,21,mk,single-sector,EB,1.0,3.0
8,31.79568246,,49231.27962,0.1750905894,1872.196149,mk_hlsp_qlp_tess_ffi-s0021-0000000101547609_tess_v01_llc.fits,et,10.77632585,129.785584,,11.6954,12.11066858,101547609,8.0611,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,21,mk,single-sector,EB,1.0,3.0
9,41.88808399,,387159.1817,0.1786587173,1984.358397,mk_hlsp_qlp_tess_ffi-s0026-0000000101675455_tess_v01_llc.fits,et,1.029888124,259.6518579,1.678,2.243,2.214140136,101675455,7.84095,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,26,mk,single-sector,EB,2.0,3.0
10,-49.69667469,eb,4948.861089,0.1634153487,1657.692294,mk_hlsp_qlp_tess_ffi-s0013-0000000101695924_tess_v01_llc.fits,eb,4.579563707,303.0591436,,11.9455,10.89502595,101695924,9.9394,et,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,13,mk,single-sector,EB,1.0,2.0
11,32.63981429,eb,2266.654546,0.2145882315,1684.060262,mk_hlsp_qlp_tess_ffi-s0014-0000000102731164_tess_v01_llc.fits,eb,1.255484602,299.609179,1.146,1.81444,1.81337674,102731164,9.20348,eb,eb,1,1,0,0,0,0,0,,pb,eb,eb,2,1,e,14,mk,single-sector,EB,1.0,1.0
12,71.0981978,,12532.81232,0.3859138271,1694.152287,mk_hlsp_qlp_tess_ffi-s0021-0000000103573024_tess_v01_llc.fits,et,21.55962336,149.9711911,,8.91606,9.255341155,103573024,8.7004,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,21,mk,single-sector,EB,3.0,1.0
13,71.90566706,,60636.67148,0.1986839312,1688.869138,mk_hlsp_qlp_tess_ffi-s0021-0000000103657171_tess_v01_llc.fits,et,9.478503443,152.7766399,1.016,1.81625,1.90217267,103657171,9.25943,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,21,mk,single-sector,EB,3.0,1.0
14,35.69701293,eb,5724.457867,0.2545752883,1686.515143,mk_hlsp_qlp_tess_ffi-s0015-0000000104914008_tess_v01_llc.fits,eb,3.807892079,300.6291753,1.27,1.65633,1.660716652,104914008,8.91949,eb,et,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,15,mk,single-sector,EB,1.0,2.0
15,32.747156,,3406.432208,0.06263504273,1929.726194,mk_hlsp_qlp_tess_ffi-s0023-0000000105618511_tess_v01_llc.fits,et,0.7817058636,200.0001669,1.38,2.8731,2.894697631,105618511,8.8401,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,23,mk,single-sector,EB,2.0,3.0
16,31.37004217,pb,786.4763652,0.1352402537,1683.812547,mk_hlsp_qlp_tess_ffi-s0014-0000000106013773_tess_v01_llc.fits,pb,1.541438839,301.070828,,,89.21821633,106013773,8.7792,pb,pb,1,0,0,0,1,0,0,,pb,nb,pb,2,1,p,14,mk,single-sector,Planet (P),1.0,1.0
17,60.58096908,,74162.25118,0.1284292874,1794.741188,mk_hlsp_qlp_tess_ffi-s0018-0000000010697190_tess_v01_llc.fits,et,5.42307094,29.02929908,1.152,1.37786,1.370148489,10697190,8.72959,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,18,mk,single-sector,EB,2.0,1.0
